sub roi condition position similarity
s001 reslice-L-RI-ROI intact 1 -0.10699
s001 reslice-L-RI-ROI scrambled 1 0.07524
s001 reslice-L-RI-ROI random 1 -0.03643
s001 reslice-L-RSC-ROI intact 1 -0.00751
s001 reslice-L-RSC-ROI scrambled 1 0.06480
s001 reslice-L-RSC-ROI random 1 0.13033
s001 reslice-L-SCEF-ROI intact 1 0.04849
s001 reslice-L-SCEF-ROI scrambled 1 0.28713
s001 reslice-L-SCEF-ROI random 1 0.09158
s001 reslice-L-SFL-ROI intact 1 -0.07779
s001 reslice-L-SFL-ROI scrambled 1 -0.03729
s001 reslice-L-SFL-ROI random 1 0.10866
s001 reslice-L-STGa-ROI intact 1 -0.12011
s001 reslice-L-STGa-ROI scrambled 1 -0.04188
s001 reslice-L-STGa-ROI random 1 -0.01109
s001 reslice-L-STSda-ROI intact 1 0.02722
s001 reslice-L-STSda-ROI scrambled 1 0.03444
s001 reslice-L-STSda-ROI random 1 0.05075
s001 reslice-L-STSdp-ROI intact 1 0.09995
s001 reslice-L-STSdp-ROI scrambled 1 0.09587
s001 reslice-L-STSdp-ROI random 1 0.13019
s001 reslice-L-STSva-ROI intact 1 0.00678
s001 reslice-L-STSva-ROI scrambled 1 0.15733
s001 reslice-L-STSva-ROI random 1 -0.09041
s001 reslice-L-STSvp-ROI intact 1 -0.10592
s001 reslice-L-STSvp-ROI scrambled 1 -0.06172
s001 reslice-L-STSvp-ROI random 1 0.04848
s001 reslice-L-STV-ROI intact 1 0.01990
s001 reslice-L-STV-ROI scrambled 1 0.19713
s001 reslice-L-STV-ROI random 1 0.14885
s001 reslice-L-TA2-ROI intact 1 0.03479
s001 reslice-L-TA2-ROI scrambled 1 0.28030
s001 reslice-L-TA2-ROI random 1 0.04917
s001 reslice-L-TE1a-ROI intact 1 0.09374
s001 reslice-L-TE1a-ROI scrambled 1 -0.03139
s001 reslice-L-TE1a-ROI random 1 0.01655
s001 reslice-L-TE1m-ROI intact 1 0.00950
s001 reslice-L-TE1m-ROI scrambled 1 0.06450
s001 reslice-L-TE1m-ROI random 1 -0.00565
s001 reslice-L-TE1p-ROI intact 1 0.01995
s001 reslice-L-TE1p-ROI scrambled 1 0.08341
s001 reslice-L-TE1p-ROI random 1 0.11598
s001 reslice-L-TE2a-ROI intact 1 0.01606
s001 reslice-L-TE2a-ROI scrambled 1 -0.19529
s001 reslice-L-TE2a-ROI random 1 -0.02403
s001 reslice-L-TE2p-ROI intact 1 0.07457
s001 reslice-L-TE2p-ROI scrambled 1 -0.06034
s001 reslice-L-TE2p-ROI random 1 0.05244
s001 reslice-L-TF-ROI intact 1 0.14121
s001 reslice-L-TF-ROI scrambled 1 -0.13426
s001 reslice-L-TF-ROI random 1 0.04253
s001 reslice-L-TGd-ROI intact 1 0.01930
s001 reslice-L-TGd-ROI scrambled 1 -0.03623
s001 reslice-L-TGd-ROI random 1 0.05712
s001 reslice-L-TGv-ROI intact 1 0.02763
s001 reslice-L-TGv-ROI scrambled 1 -0.21206
s001 reslice-L-TGv-ROI random 1 -0.06595
s001 reslice-L-TPOJ1-ROI intact 1 0.05128
s001 reslice-L-TPOJ1-ROI scrambled 1 0.17064
s001 reslice-L-TPOJ1-ROI random 1 0.02300
s001 reslice-L-TPOJ2-ROI intact 1 0.00097
s001 reslice-L-TPOJ2-ROI scrambled 1 0.17261
s001 reslice-L-TPOJ2-ROI random 1 0.01759
s001 reslice-L-TPOJ3-ROI intact 1 -0.04741
s001 reslice-L-TPOJ3-ROI scrambled 1 0.16351
s001 reslice-L-TPOJ3-ROI random 1 0.15330
s001 reslice-L-V1-ROI intact 1 0.04781
s001 reslice-L-V1-ROI scrambled 1 0.10918
s001 reslice-L-V1-ROI random 1 0.03936
s001 reslice-L-V2-ROI intact 1 0.06058
s001 reslice-L-V2-ROI scrambled 1 -0.11460
s001 reslice-L-V2-ROI random 1 0.07049
s001 reslice-L-V3A-ROI intact 1 0.40231
s001 reslice-L-V3A-ROI scrambled 1 0.02035
s001 reslice-L-V3A-ROI random 1 0.32526
s001 reslice-L-V3B-ROI intact 1 0.00921
s001 reslice-L-V3B-ROI scrambled 1 -0.23823
s001 reslice-L-V3B-ROI random 1 -0.07093
s001 reslice-L-V3CD-ROI intact 1 -0.01968
s001 reslice-L-V3CD-ROI scrambled 1 -0.27619
s001 reslice-L-V3CD-ROI random 1 -0.00601
s001 reslice-L-V3-ROI intact 1 0.19193
s001 reslice-L-V3-ROI scrambled 1 -0.12318
s001 reslice-L-V3-ROI random 1 0.21754
s001 reslice-L-V4-ROI intact 1 0.16581
s001 reslice-L-V4-ROI scrambled 1 -0.17122
s001 reslice-L-V4-ROI random 1 0.11541
s001 reslice-L-V4t-ROI intact 1 -0.05072
s001 reslice-L-V4t-ROI scrambled 1 0.07180
s001 reslice-L-V4t-ROI random 1 0.05029
s001 reslice-L-V6A-ROI intact 1 -0.17306
s001 reslice-L-V6A-ROI scrambled 1 -0.19127
s001 reslice-L-V6A-ROI random 1 -0.04411
s001 reslice-L-V6-ROI intact 1 0.13573
s001 reslice-L-V6-ROI scrambled 1 -0.03235
s001 reslice-L-V6-ROI random 1 0.16821
s001 reslice-L-V7-ROI intact 1 0.13005
s001 reslice-L-V7-ROI scrambled 1 -0.19891
s001 reslice-L-V7-ROI random 1 0.02687
s001 reslice-L-V8-ROI intact 1 -0.08409
s001 reslice-L-V8-ROI scrambled 1 -0.10761
s001 reslice-L-V8-ROI random 1 0.14034
s001 reslice-L-VIP-ROI intact 1 0.12915
s001 reslice-L-VIP-ROI scrambled 1 -0.11825
s001 reslice-L-VIP-ROI random 1 0.01647
s001 reslice-L-VMV1-ROI intact 1 -0.00858
s001 reslice-L-VMV1-ROI scrambled 1 -0.14926
s001 reslice-L-VMV1-ROI random 1 -0.06291
s001 reslice-L-VMV2-ROI intact 1 0.07320
s001 reslice-L-VMV2-ROI scrambled 1 -0.20025
s001 reslice-L-VMV2-ROI random 1 -0.18810
s001 reslice-L-VMV3-ROI intact 1 -0.02551
s001 reslice-L-VMV3-ROI scrambled 1 -0.07159
s001 reslice-L-VMV3-ROI random 1 -0.00985
s001 reslice-L-VVC-ROI intact 1 -0.00272
s001 reslice-L-VVC-ROI scrambled 1 0.06476
s001 reslice-L-VVC-ROI random 1 0.06816
s001 reslice-L-a10p-ROI intact 1 0.12253
s001 reslice-L-a10p-ROI scrambled 1 0.07445
s001 reslice-L-a10p-ROI random 1 0.05725
s001 reslice-L-a24-ROI intact 1 0.05022
s001 reslice-L-a24-ROI scrambled 1 0.11282
s001 reslice-L-a24-ROI random 1 0.11868
s001 reslice-L-a24pr-ROI intact 1 0.20906
s001 reslice-L-a24pr-ROI scrambled 1 0.16133
s001 reslice-L-a24pr-ROI random 1 0.19701
s001 reslice-L-a32pr-ROI intact 1 0.11422
s001 reslice-L-a32pr-ROI scrambled 1 0.10047
s001 reslice-L-a32pr-ROI random 1 -0.01279
s001 reslice-L-a47r-ROI intact 1 0.13345
s001 reslice-L-a47r-ROI scrambled 1 -0.04663
s001 reslice-L-a47r-ROI random 1 0.03622
s001 reslice-L-a9-46v-ROI intact 1 0.16841
s001 reslice-L-a9-46v-ROI scrambled 1 0.08506
s001 reslice-L-a9-46v-ROI random 1 0.11410
